; Kepler light curve for kplr005110407.
; Quarter 02
; CBVs have been removed.
; Column 1:  Time from the Kepler .fits files (MBJD)
; Column 2:  Normalized flux with CBVs removed
; Column 3:  Errors on the original SAP data
    172.8102535       2100.5718       2.3103466
    172.8306878       2102.1005       2.3106787
    172.8511221       2110.5589       2.3117774
    172.8715563       2115.0059       2.3123620
    172.8919905       2110.0017       2.3118601
    172.9124249       2116.6675       2.3126817
    172.9328590       2117.5142       2.3125498
    172.9532933       2116.8533       2.3126481
    172.9737275       2120.2043       2.3131807
    172.9941619       2118.4092       2.3129256
    173.0145960       2128.4312       2.3142362
    173.0350302       2124.8193       2.3137431
    173.0554646       2128.4047       2.3141663
    173.0758987       2128.0209       2.3141735
    173.0963330       2132.5640       2.3147748
    173.1167672       2132.9963       2.3147571
    173.1372015       2136.4712       2.3153670
    173.1780699       2134.4448       2.3150265
    173.1985042       2137.0795       2.3154688
    173.2189384       2140.5243       2.3160114
    173.2393727       2142.1886       2.3160827
    173.2598068       2141.0261       2.3160584
    173.2802411       2140.9747       2.3159497
    173.3006754       2138.1412       2.3158689
    173.3211095       2141.0212       2.3159497
    173.3415439       2140.5006       2.3160024
    173.3619781       2146.9048       2.3167682
    173.3824122       2140.4558       2.3161387
    173.4028465       2146.3217       2.3166595
    173.4232808       2147.1116       2.3169115
    173.4437150       2151.2422       2.3174355
    173.4641492       2147.9142       2.3171363
    173.4845835       2148.0799       2.3170660
    173.5050178       2148.9924       2.3171637
    173.5254519       2151.0593       2.3175735
    173.5458862       2151.0727       2.3174551
    173.5663205       2148.4859       2.3171821
    173.5867546       2147.5916       2.3169873
    173.6071889       2150.1311       2.3172803
    173.6276232       2146.0062       2.3168669
    173.6480573       2148.5588       2.3170805
    173.6684916       2149.0431       2.3171637
    173.6889258       2149.9036       2.3174500
    173.7093600       2146.3519       2.3169565
    173.7297943       2149.1608       2.3172941
    173.7502285       2147.7476       2.3171222
    173.7706629       2142.6663       2.3163109
    173.7910970       2142.9623       2.3163958
    173.8115312       2142.0043       2.3162787
    173.8319654       2139.7581       2.3160286
    173.8523997       2140.1251       2.3161726
    173.8728339       2135.5983       2.3155923
    173.8932681       2138.2573       2.3160152
    173.9137024       2136.7298       2.3157797
    173.9341366       2133.7088       2.3154263
    173.9545709       2132.9936       2.3153098
    173.9750050       2130.1912       2.3150947
    173.9954393       2128.4105       2.3150885
    174.0158736       2130.7462       2.3149774
    174.0363077       2127.2647       2.3146129
    174.0567420       2129.3664       2.3149350
    174.0771762       2123.2839       2.3140221
    174.0976104       2122.3932       2.3138769
    174.1180446       2117.9009       2.3132541
    174.1384789       2120.5773       2.3134112
    174.1589131       2117.6207       2.3130143
    174.1793473       2116.6327       2.3128436
    174.1997816       2111.9345       2.3121276
    174.2202159       2107.4093       2.3115442
    174.2406500       2102.9567       2.3110838
    174.2610842       2100.0289       2.3104534
    174.2815185       2100.8673       2.3104904
    174.3019527       2099.2627       2.3103280
    174.3223869       2093.6992       2.3095136
    174.3428212       2091.9492       2.3093946
    174.3632554       2088.1277       2.3087904
    174.3836896       2086.1932       2.3084364
    174.4041238       2090.1259       2.3089824
    174.4245580       2085.9374       2.3084989
    174.4449923       2079.8210       2.3075793
    174.4654265       2077.5699       2.3072450
    174.4858607       2075.4144       2.3070014
    174.5062950       2073.0068       2.3065815
    174.5267292       2069.7367       2.3063643
    174.5471634       2066.4792       2.3057396
    174.5880318       2067.4555       2.3057623
    174.6084661       2058.3131       2.3046005
    174.6289003       2060.8804       2.3049273
    174.6493345       2052.6284       2.3037264
    174.6697687       2056.9660       2.3043005
    174.6902030       2054.6234       2.3039978
    174.7106372       2049.6603       2.3033769
    174.7310714       2048.8835       2.3032291
    174.7515056       2044.7814       2.3027859
    174.7719399       2046.4846       2.3029261
    174.7923741       2045.8454       2.3029761
    174.8128083       2046.9986       2.3028708
    174.8332424       2038.3544       2.3016875
    174.8741110       2038.2437       2.3019929
    174.8945451       2038.3752       2.3018415
    174.9149794       2034.9552       2.3013575
    174.9558479       2039.8019       2.3018894
    174.9762820       2031.1653       2.3009505
    174.9967163       2041.6359       2.3020699
    175.0171505       2038.7467       2.3018451
    175.0375846       2030.5519       2.3009198
    175.0580189       2035.6532       2.3015962
    175.0784532       2036.6818       2.3017290
    175.0988873       2034.1443       2.3011761
    175.1397558       2034.9286       2.3013217
    175.1601899       2034.4679       2.3012490
    175.1806242       2034.6280       2.3012588
    175.2010585       2038.6198       2.3018284
    175.2419268       2036.0867       2.3015721
    175.2623610       2033.3103       2.3011484
    175.3032295       2032.8170       2.3010890
    175.3236637       2033.0296       2.3010101
    175.3440980       2030.8574       2.3007269
    175.3645321       2029.8793       2.3005793
    175.3849663       2029.5466       2.3010149
    175.4054004       2034.1160       2.3011067
    175.4258348       2031.4458       2.3007505
    175.4462690       2030.8735       2.3007197
    175.4667032       2034.9730       2.3012397
    175.4871374       2034.5948       2.3012898
    175.5075716       2033.1779       2.3010509
    175.5280058       2030.5368       2.3007827
    175.5484399       2034.8376       2.3013725
    175.5688742       2038.7391       2.3017554
    175.6097426       2035.0557       2.3013449
    175.6301769       2037.0878       2.3016706
    175.6506111       2036.6890       2.3016806
    175.6710452       2041.9586       2.3023753
    175.6914794       2044.6467       2.3028045
    175.7119137       2044.1788       2.3027008
    175.7323479       2042.3547       2.3023531
    175.7527821       2041.8584       2.3022401
    175.7732164       2045.7215       2.3029466
    175.7936506       2044.4106       2.3026094
    175.8140847       2047.2018       2.3030529
    175.8549532       2050.8089       2.3034613
    175.8753873       2060.4298       2.3048584
    175.8958215       2059.7038       2.3046923
    175.9162558       2058.1207       2.3046606
    175.9366899       2061.8702       2.3049655
    175.9571241       2062.2376       2.3051534
    175.9775584       2064.8942       2.3055499
    175.9979926       2072.8137       2.3065324
    176.0184268       2076.6217       2.3069565
    176.0388610       2076.4669       2.3071387
    176.0592953       2079.0909       2.3073545
    176.0797294       2086.4799       2.3083470
    176.1001636       2082.5387       2.3079855
    176.1205977       2090.2526       2.3088167
    176.1614662       2095.8193       2.3095059
    176.1819003       2098.3534       2.3100646
    176.2023346       2097.0211       2.3098187
    176.2227688       2104.1035       2.3107774
    176.2432030       2102.3319       2.3106961
    176.2636371       2102.1953       2.3106782
    176.2840714       2112.3693       2.3119838
    176.3045056       2111.9351       2.3118496
